priority,id,class,phyloP,phastCons,denovo,lnTPM,max_Lu_riboTPM,validated by 2nd method
225,141.1,fast-evolving,-0.28630208068837704,0.00302083337737713,Yes,0.5429090035684733,0.146098,No
226,957.1,utORFs,1.2240079337258,0.700246030375147,No,3.196036747419744,0.225454,No
227,2001.1,fast-evolving,0.0377450976886001,0.149901959709549,Yes,2.2328628126960113,0.0,No
228,1595.1,utORFs,1.02349332776076,0.5656000000781689,No,3.7068616018128204,0.164258,No
229,1991.1,utORFs,0.378186866730414,0.37891414175880106,No,0.7187135576483755,0.10384000000000002,No
230,746.1,unassigned,2.87923698803133,0.996088353984327,No,5.2744846245379735,0.0,No
231,512.1,mel-specific,0.0663854170270497,0.0235937498424998,Yes,0.060023970873533686,0.235578,No
232,4497.1,fast-evolving,0.113586206749167,0.0130114943088814,Yes,2.186985559261349,0.0,No
233,2447.1,unassigned,1.58412499497645,0.824216668662848,No,5.1484543009186075,0.0,No
234,786.1,utORFs,1.1986666751715,0.754104574728343,No,2.519725300244452,0.46256,No
235,3748.1,fast-evolving,-0.15828333714356,0.0029333333504231,No,2.152351680646314,0.0,No
236,2377.1,utORFs,1.64307406975853,0.8422160497140769,Yes,1.298033476547969,0.21056399999999997,No
237,1871.1,utORFs,0.475839088124962,0.40901149441648704,No,2.10690251394603,0.0,No
238,4301.1,utORFs,1.2189047685755,0.48940476105296205,Yes,2.595625459115312,0.34203,No
239,1901.1,utORFs,1.40078646426991,0.757541666760517,No,2.352053883987055,0.49687700000000007,No
240,2654.1,alt-frame,3.0882407522035997,0.976120371888909,No,1.5617154980169592,0.112801,No
241,247.1,utORFs,0.9595238151738331,0.789380951539247,Yes,2.544201682209716,0.332083,No
242,257.1,utORFs,0.9317393883724101,0.46082424271047495,Yes,2.1360740881090847,1.676278,No
243,3099.1,utORFs,1.157600006784,0.830426668406775,No,1.58476030973108,0.106813,No
244,550.1,utORFs,0.52253333537115,0.37124444530604206,No,4.251144586577644,0.10042899999999999,No
245,2759.1,utORFs,1.2191071386471202,0.723345239380641,Yes,4.506075189793815,0.082009,No
246,683.1,utORFs,0.9425634911934301,0.636730158384631,No,2.4109640485751354,0.397362,No
247,2899.1,alt-frame,2.0061481439474,0.9642777763031151,Yes,1.6996335808488705,0.075151,No
248,1405.1,unassigned,2.11927085413804,0.818333333778557,No,4.35373579622638,0.0,No
249,245.1,utORFs,0.9563950653544359,0.465734568351224,Yes,4.704160739446568,0.068847,No
250,1718.1,unassigned,-0.0226734694169492,0.00160544218871396,No,1.9894446214789312,0.0,No
251,3924.1,utORFs,0.8893414680179721,0.650886178336568,Yes,3.752235635938771,0.11339400000000001,No
252,1518.1,unassigned,2.9012659951311295,0.997957447107802,No,4.301515697606403,0.0,No
253,4006.1,utORFs,0.753987423454722,0.48135849150665,Yes,3.585812860958487,0.12447799999999999,No
254,3714.1,utORFs,1.3847304972578898,0.786468085645473,No,3.0358157874645504,0.180315,No
255,308.1,utORFs,1.45578030951208,0.8144204548836128,Yes,1.5418832205566115,0.10529300000000001,No
256,3735.1,utORFs,0.206201389997861,0.20025694553785603,No,1.9628686797177906,0.0,No
257,1699.1,alt-frame,1.80208332992403,0.9850714291845051,No,1.1158134959878845,0.244767,No
258,716.1,alt-frame,3.5181589661297403,0.9728974367945621,No,4.11306698212128,0.0,No
259,396.1,utORFs,0.5551794871934649,0.26095726526179197,Yes,2.5304777494354,0.256307,No
260,2241.1,utORFs,1.14568116437084,0.6443739142363379,Yes,4.060861957258748,0.092034,No
261,419.1,fast-evolving,0.437116280259463,0.19193023278255203,No,1.916091531636157,0.0,No
262,2604.1,mel-specific,0.00710714289120265,0.0016488095834141698,No,0.5326010097758312,0.083063,No
263,142.1,utORFs,2.3878602273712204,0.935403225581682,Yes,1.6420526231516681,0.055629,No
264,2352.1,utORFs,1.59230832081909,0.778841667448675,No,3.6427628428148577,0.105245,No
265,1750.1,alt-frame,2.27795002727459,0.9988000005483629,No,3.921049384817115,0.0,No
266,1343.1,alt-frame,2.3288387649001603,0.9869569898933491,No,1.0996171169923274,0.213711,No
267,3294.1,utORFs,0.784155566121141,0.412000001985062,Yes,3.2141161555923117,0.122073,No
268,2981.1,utORFs,1.4667240355889402,0.677872868148292,Yes,4.584367849949607,0.040133999999999996,No
269,2279.1,utORFs,0.5558510653357559,0.464992907686747,No,3.145155094649718,0.13028399999999998,No
270,3065.1,alt-frame,2.7811701935138,0.921011820775229,Yes,3.7185836341371337,0.0,No
271,276.1,fast-evolving,0.056119049390194,0.0805158723369315,Yes,1.815795280806003,0.0,No
272,842.1,utORFs,1.24342222613869,0.716266668581887,No,2.822092857661546,0.161662,No
273,1141.1,utORFs,1.02727160439539,0.765691360010317,Yes,2.2232217045309572,0.35731999999999997,No
274,3351.1,utORFs,1.58220460295228,0.8319273929802471,No,3.6723425704673183,0.0,No
275,917.1,alt-frame,1.5902362096950302,0.801196643158741,Yes,3.667692614738098,0.0,No
276,620.1,utORFs,2.70802851144405,0.782774928672985,Yes,1.9033950553845846,1.1646040000000002,No
277,2173.1,fast-evolving,0.0299555512209837,0.0272222220367338,No,1.797449914556421,0.0,No
278,1273.1,alt-frame,2.13168182511899,0.9414242425877041,Yes,3.616460873365385,0.0,No
279,1097.1,utORFs,0.299870746096178,0.26554421842301,Yes,1.7924084252771868,0.0,No
280,3337.1,utORFs,1.3862156813379898,0.555058824658558,Yes,2.5269529345590076,0.187603,No
281,1906.1,utORFs,1.01917544987641,0.49682456174489603,No,2.244418335652501,0.312614,No
